Country,Life expectancy
Afghanistan,65
Afghanistan,59.9
Afghanistan,59.9
Afghanistan,59.5
Afghanistan,59.2
Afghanistan,58.8
Afghanistan,58.6
Afghanistan,58.1
Afghanistan,57.5
Afghanistan,57.3
Afghanistan,57.3
Afghanistan,57
Afghanistan,56.7
Afghanistan,56.2
Afghanistan,55.3
Afghanistan,54.8
Albania,77.8
Albania,77.5
Albania,77.2
Albania,76.9
Albania,76.6
Albania,76.2
Albania,76.1
Albania,75.3
Albania,75.9
Albania,74.2
Albania,73.5
Albania,73
Albania,72.8
Albania,73.3
Albania,73.6
Albania,72.6
Algeria,75.6
Algeria,75.4
Algeria,75.3
Algeria,75.1
Algeria,74.9
Algeria,74.7
Algeria,74.4
Algeria,74.1
Algeria,73.8
Algeria,73.4
Algeria,72.9
Algeria,72.3
Algeria,71.7
Algeria,71.6
Algeria,71.4
Algeria,71.3
Angola,52.4
Angola,51.7
Angola,51.1
Angola,56
Angola,51
Angola,49.6
Angola,49.1
Angola,48.7
Angola,48.2
Angola,47.7
Angola,47.4
Angola,47.1
Angola,46.8
Angola,46.5
Angola,45.7
Angola,45.3
Antigua and Barbuda,76.4
Antigua and Barbuda,76.2
Antigua and Barbuda,76.1
Antigua and Barbuda,75.9
Antigua and Barbuda,75.7
Antigua and Barbuda,75.6
Antigua and Barbuda,75.4
Antigua and Barbuda,75.2
Antigua and Barbuda,75
Antigua and Barbuda,74.8
Antigua and Barbuda,74.6
Antigua and Barbuda,74.4
Antigua and Barbuda,74.2
Antigua and Barbuda,74
Antigua and Barbuda,73.8
Antigua and Barbuda,73.6
Argentina,76.3
Argentina,76.2
Argentina,76
Argentina,75.9
Argentina,75.7
Argentina,75.5
Argentina,75.6
Argentina,75.4
Argentina,74.8
Argentina,75.2
Argentina,74.9
Argentina,74.7
Argentina,74.1
Argentina,74.1
Argentina,74
Argentina,74.1
Armenia,74.8
Armenia,74.6
Armenia,74.4
Armenia,74.4
Armenia,73.9
Armenia,73.5
Armenia,73.3
Armenia,73.2
Armenia,73.5
Armenia,72.9
Armenia,73
Armenia,73
Armenia,72.7
Armenia,72.6
Armenia,72.6
Armenia,72
Australia,82.8
Australia,82.7
Australia,82.5
Australia,82.3
Australia,82
Australia,81.9
Australia,81.7
Australia,81.3
Australia,81.3
Australia,81.2
Australia,81
Australia,86
Australia,83
Australia,79.9
Australia,79.9
Australia,79.5
Austria,81.5
Austria,81.4
Austria,81.1
Austria,88
Austria,88
Austria,84
Austria,82
Austria,84
Austria,81
Austria,79.8
Austria,79.4
Austria,79.3
Austria,78.8
Austria,78.7
Austria,78.6
Austria,78.1
Azerbaijan,72.7
Azerbaijan,72.5
Azerbaijan,72.2
Azerbaijan,71.9
Azerbaijan,71.6
Azerbaijan,71.1
Azerbaijan,78
Azerbaijan,73
Azerbaijan,73
Azerbaijan,69.2
Azerbaijan,68.4
Azerbaijan,68.4
Azerbaijan,67.8
Azerbaijan,67.8
Azerbaijan,67.5
Azerbaijan,66.6
Bahamas,76.1
Bahamas,75.4
Bahamas,74.8
Bahamas,74.9
Bahamas,75
Bahamas,75
Bahamas,74.6
Bahamas,74.5
Bahamas,74.4
Bahamas,74.2
Bahamas,74.1
Bahamas,73.8
Bahamas,73.2
Bahamas,73.1
Bahamas,72.9
Bahamas,72.6
Bahrain,76.9
Bahrain,76.8
Bahrain,76.7
Bahrain,76.5
Bahrain,76.1
Bahrain,76.1
Bahrain,76
Bahrain,75.8
Bahrain,75.6
Bahrain,75.5
Bahrain,75.3
Bahrain,75.2
Bahrain,75
Bahrain,74.9
Bahrain,74.7
Bahrain,74.5
Bangladesh,71.8
Bangladesh,71.4
Bangladesh,71
Bangladesh,77
Bangladesh,73
Bangladesh,69.9
Bangladesh,69.5
Bangladesh,69.1
Bangladesh,68.6
Bangladesh,68.2
Bangladesh,67.8
Bangladesh,67.3
Bangladesh,66.8
Bangladesh,66.3
Bangladesh,65.8
Bangladesh,65.3
Barbados,75.5
Barbados,75.4
Barbados,75.2
Barbados,75.1
Barbados,74.9
Barbados,74.7
Barbados,74.6
Barbados,74.4
Barbados,74.2
Barbados,74.1
Barbados,73.9
Barbados,73.8
Barbados,73.7
Barbados,73.5
Barbados,73.4
Barbados,73.3
Belarus,72.3
Belarus,72
Belarus,71.7
Belarus,71.9
Belarus,72
Belarus,73
Belarus,70
Belarus,70
Belarus,69.8
Belarus,68.9
Belarus,68.1
Belarus,68.2
Belarus,67.7
Belarus,67.2
Belarus,67.7
Belarus,68
Belgium,81.1
Belgium,89
Belgium,87
Belgium,83
Belgium,83
Belgium,80
Belgium,79.8
Belgium,79.5
Belgium,79.5
Belgium,79.4
Belgium,78.9
Belgium,78.8
Belgium,78.3
Belgium,78
Belgium,78
Belgium,77.6
Belize,71
Belize,70
Belize,69.8
Belize,69.4
Belize,69.4
Belize,69.5
Belize,69.5
Belize,69.6
Belize,69.6
Belize,69.4
Belize,69
Belize,68.7
Belize,68.4
Belize,68.5
Belize,68.2
Belize,68.3
Benin,60
Benin,59.7
Benin,59.5
Benin,59.3
Benin,59.1
Benin,58.7
Benin,58.4
Benin,57.6
Benin,57.1
Benin,56.8
Benin,56.5
Benin,56.1
Benin,55.8
Benin,55.6
Benin,55.5
Benin,55.4
Bhutan,69.8
Bhutan,69.4
Bhutan,69.1
Bhutan,68.7
Bhutan,68.3
Bhutan,67.9
Bhutan,67.4
Bhutan,67
Bhutan,66.5
Bhutan,65.8
Bhutan,65
Bhutan,64.2
Bhutan,63.3
Bhutan,62.5
Bhutan,61.7
Bhutan,62
Bolivia (Plurinational State of),77
Bolivia (Plurinational State of),74
Bolivia (Plurinational State of),71
Bolivia (Plurinational State of),69.8
Bolivia (Plurinational State of),69.3
Bolivia (Plurinational State of),68.7
Bolivia (Plurinational State of),68
Bolivia (Plurinational State of),67.4
Bolivia (Plurinational State of),66.8
Bolivia (Plurinational State of),66.2
Bolivia (Plurinational State of),65.7
Bolivia (Plurinational State of),65.1
